PW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: June 15, 2026"
1,,,,3.8,2.4,-1.4,85.6,4.2,126.8,2303,201.4,7.6R,1.48,
2,,,,1.4,-0.7,-2.1,85.6,3.8,127.1,2245,202.4,11.0L,1.48,
3,,,,3.6,2.7,-0.9,85.3,4.8,126.8,1977,202.9,16.4R,1.49,
4,,,,2.4,-1.3,-3.7,85.6,3.4,125.6,2853,191.3,1.3L,1.47,
5,,,,1.8,-0.7,-2.5,85.1,2.8,126,2556,199.7,2.9L,1.48,
6,,,,2.4,0.7,-1.7,85.3,4.8,126.6,1902,198.1,7.6L,1.48,
7,,,,2.8,-3,-5.8,84.5,3.4,123.3,2388,194.4,53.4L,1.46,
8,,,,0.6,-2.9,-3.5,85,3.8,125.2,2084,194.6,26.5L,1.47,
9,,,,2.2,0.2,-2,85.9,3.8,127.4,2278,199.8,13.6R,1.48,
10,,,,2,1.4,-0.6,85.1,4.4,126.1,2111,202.3,27.7R,1.48,
,,,,,,,,,,,,,,
SW,,,,Club Path,Face Ang.,Face To Path,Club Speed,Attack Ang.,Ball Speed,Spin Rate,Carry,Side,Smash Fac.,"Date: August 25, 2025"
"Yds/Ft, Mph",,,,Deg,Deg,Deg,Mph,Deg,Mph,Rpm,Yds,Ft,,
1,,,,5.8,-1.8,-7.6,61.4,-3.2,67,8398,73.7,5.3L,1.09,
2,,,,4.4,-1.8,-6.2,61.8,-3,66.7,8786,73.1,5.4L,1.08,
3,,,,6.4,-0.6,-7,67.6,-3.2,73.1,9566,82.7,1.8L,1.08,
4,,,,6.4,-2.4,-8.8,63.9,-2.6,70.3,8883,78.8,9.1L,1.1,
5,,,,6,-1.3,-7.3,66.9,-1.4,72.8,9208,82.5,5.4L,1.09,
6,,,,5,-1,-6,67.7,-1.4,73.5,9069,83.2,4.4L,1.09,
7,,,,4.4,0.8,-3.6,62,-3.4,63.9,8878,68.5,4.3R,1.03,
8,,,,5.8,-2.4,-8.2,62.1,-2.8,68.8,9022,76.4,7.8L,1.11,
